code,name,industry
sh.600105,永鼎股份,C38电气机械和器材制造业
sh.600110,诺德股份,C39计算机、通信和其他电子设备制造业
sh.600111,北方稀土,C32有色金属冶炼和压延加工业
sh.600118,中国卫星,C39计算机、通信和其他电子设备制造业
sh.600152,维科技术,C38电气机械和器材制造业
sh.600176,中国巨石,C30非金属矿物制品业
sh.600183,生益科技,C39计算机、通信和其他电子设备制造业
sh.600259,中稀有色,B09有色金属矿采选业
sh.600309,万华化学,C26化学原料和化学制品制造业
sh.600330,天通股份,C39计算机、通信和其他电子设备制造业
sh.600410,华胜天成,I65软件和信息技术服务业
sh.600426,华鲁恒升,C26化学原料和化学制品制造业
sh.600482,中国动力,C37铁路、船舶、航空航天和其他运输设备制造业
sh.600486,扬农化工,C26化学原料和化学制品制造业
sh.600487,亨通光电,C38电气机械和器材制造业
sh.600498,烽火通信,C39计算机、通信和其他电子设备制造业
sh.600522,中天科技,C38电气机械和器材制造业
sh.600552,凯盛科技,C39计算机、通信和其他电子设备制造业
sh.600875,东方电气,C34通用设备制造业
sh.600989,宝丰能源,C26化学原料和化学制品制造业
sh.601208,东材科技,C26化学原料和化学制品制造业
sh.601615,明阳智能,C34通用设备制造业
sh.601869,长飞光纤,C39计算机、通信和其他电子设备制造业
sh.601958,金钼股份,B09有色金属矿采选业
sh.603002,宏昌电子,C39计算机、通信和其他电子设备制造业
sh.603019,中科曙光,C39计算机、通信和其他电子设备制造业
sh.603186,华正新材,C39计算机、通信和其他电子设备制造业
sh.603256,宏和科技,C30非金属矿物制品业
sh.603296,华勤技术,C39计算机、通信和其他电子设备制造业
sh.603308,应流股份,C34通用设备制造业
sh.603507,振江股份,C38电气机械和器材制造业
sh.603688,石英股份,C30非金属矿物制品业
sh.603757,大元泵业,C34通用设备制造业
sh.603773,沃格光电,C39计算机、通信和其他电子设备制造业
sh.603906,龙蟠科技,C39计算机、通信和其他电子设备制造业
sh.603937,丽岛新材,C33金属制品业
sh.603950,长源东谷,C36汽车制造业
sh.605060,联德股份,C34通用设备制造业
sh.605589,圣泉集团,C26化学原料和化学制品制造业
sh.688502,,
sh.688702,,
sz.000062,深圳华强,F51批发业
sz.000070,特发信息,C39计算机、通信和其他电子设备制造业
sz.000338,潍柴动力,C36汽车制造业
sz.000534,万泽股份,C27医药制造业
sz.000628,高新发展,E47房屋建筑业
sz.000636,风华高科,C39计算机、通信和其他电子设备制造业
sz.000815,美利云,C22造纸和纸制品业
sz.000831,中国稀土,C32有色金属冶炼和压延加工业
sz.000988,华工科技,C39计算机、通信和其他电子设备制造业
sz.001267,汇绿生态,C39计算机、通信和其他电子设备制造业
sz.001309,德明利,C39计算机、通信和其他电子设备制造业
sz.001313,粤海饲料,C13农副食品加工业
sz.002008,大族激光,C35专用设备制造业
sz.002080,中材科技,C30非金属矿物制品业
sz.002126,银轮股份,C36汽车制造业
sz.002152,广电运通,C39计算机、通信和其他电子设备制造业
sz.002156,通富微电,C39计算机、通信和其他电子设备制造业
